sample_index,timestamp,room_id,test_session_id,peer_id,remote_peer_id,connection_state,ice_connection_state,rtt_ms,packets_lost,packet_loss_rate,jitter_ms,bitrate_kbps,available_outgoing_bitrate_kbps,fps,frame_width,frame_height,codec,local_candidate_type,remote_candidate_type,candidate_pair_protocol,packets_sent,packets_received,bytes_sent,bytes_received,frames_sent,frames_received,frames_encoded,frames_decoded,frames_dropped,nack_enabled,nack_mode,nack_count,pli_count,fir_count,quality_limitation_reason,bitrate_mode,sender_max_bitrate_bps,abr_mode,abr_target_bitrate_bps,abr_decision
2516,1778745603.922,room1,session-14986c09-a624-4a14-944f-e044aa5a70bc,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,1,0,0,0,2582.96451774113,2116.8,30,480,360,audio/opus,host,host,udp,2077,3714,1234660,3077219,448,449,448,448,0,True,enabled,0,0,0,bandwidth,manual,800000,off,,off
2518,1778745604.923,room1,session-14986c09-a624-4a14-944f-e044aa5a70bc,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,1,0,0,0,2529.929021263462,2116.8,29,480,360,audio/opus,host,host,udp,2226,3972,1334130,3294085,478,479,478,477,0,True,enabled,0,0,0,bandwidth,manual,800000,off,,off
2520,1778745605.923,room1,session-14986c09-a624-4a14-944f-e044aa5a70bc,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,1,0,0,0,2221.3704111498255,2116.8,30,640,480,audio/opus,host,host,udp,2356,4218,1409469,3496334,508,509,508,507,0,True,enabled,0,0,0,none,manual,800000,off,,off
2522,1778745606.923,room1,session-14986c09-a624-4a14-944f-e044aa5a70bc,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,1,0,0,0,2638.664801056456,2116.8,30,640,480,audio/opus,host,host,udp,2511,4486,1511537,3724297,538,539,538,537,0,True,enabled,0,0,0,none,manual,800000,off,,off
2524,1778745607.922,room1,session-14986c09-a624-4a14-944f-e044aa5a70bc,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,1,0,0,0,2692.2435898078807,2116.8,30,640,480,audio/opus,host,host,udp,2672,4752,1622877,3948949,568,569,568,566,0,True,enabled,0,0,0,none,manual,800000,off,,off
2526,1778745608.923,room1,session-14986c09-a624-4a14-944f-e044aa5a70bc,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,1,0,0,0,2506.429783322051,2116.8,30,640,480,audio/opus,host,host,udp,2828,5008,1724793,4160932,598,599,598,596,0,True,enabled,0,0,0,none,manual,800000,off,,off
2528,1778745609.923,room1,session-14986c09-a624-4a14-944f-e044aa5a70bc,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,1,0,0,0,2527.8719359679835,2116.8,30,640,480,audio/opus,host,host,udp,2979,5262,1826158,4375393,628,629,628,626,0,True,enabled,0,0,0,none,manual,800000,off,,off
2530,1778745610.922,room1,session-14986c09-a624-4a14-944f-e044aa5a70bc,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,1,0,0,0,2465.9609804902448,2116.8,29,640,480,audio/opus,host,host,udp,3132,5508,1927414,4582228,657,658,657,656,0,True,enabled,0,0,0,none,manual,800000,off,,off
2532,1778745611.923,room1,session-14986c09-a624-4a14-944f-e044aa5a70bc,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,1,0,0,0,2727.657873668549,2116.8,30,640,480,audio/opus,host,host,udp,3299,5778,2039288,4811584,688,689,688,686,0,True,enabled,0,0,0,none,manual,800000,off,,off
2534,1778745612.922,room1,session-14986c09-a624-4a14-944f-e044aa5a70bc,peer-e2b45cee-2e03-45fe-b17b-bb377d2b7120,peer-3dcd89cc-eb68-4fc8-bbff-d01c2d8298df,connected,connected,1,0,0,0,2633.7944150677527,2116.8,30,640,480,audio/opus,host,host,udp,3458,6038,2145584,5034216,718,719,718,716,0,True,enabled,0,0,0,none,manual,800000,off,,off
